               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,             0.02789,           0.0076651,          0.00050972,             0.57262,             0.38921,             0.39925,             0.19838,            0.055233,            0.013971,            0.010348,            0.002146,            0.002146,            0.002146
                 121,            0.027195,           0.0072831,          0.00039426,             0.60803,             0.37023,             0.38799,             0.18567,            0.054924,             0.01409,            0.010071,             0.00208,             0.00208,             0.00208
                 122,             0.02779,           0.0075702,          0.00045514,             0.55566,              0.3932,             0.39721,             0.19222,             0.05448,            0.013659,            0.010057,            0.002014,            0.002014,            0.002014
                 123,             0.02678,           0.0079113,          0.00041933,             0.55171,             0.40771,             0.38794,             0.18852,            0.054736,            0.013245,            0.011525,            0.001948,            0.001948,            0.001948
                 124,            0.026606,           0.0077481,          0.00039565,             0.62563,             0.38718,             0.40622,             0.19612,            0.053031,            0.013122,             0.01065,            0.001882,            0.001882,            0.001882
                 125,             0.02805,           0.0075842,          0.00050311,             0.52401,             0.37268,             0.37862,             0.18289,            0.053456,            0.013963,            0.010653,            0.001816,            0.001816,            0.001816
                 126,            0.026393,           0.0078567,          0.00040541,             0.52997,             0.36347,             0.36997,             0.18172,            0.054049,            0.014109,            0.010746,             0.00175,             0.00175,             0.00175
                 127,            0.026601,            0.007594,           0.0003689,             0.61444,             0.35573,             0.37236,             0.18118,            0.054625,             0.01439,            0.010387,            0.001684,            0.001684,            0.001684
                 128,            0.026953,           0.0074076,          0.00043805,              0.5164,             0.38115,             0.37499,             0.18276,            0.054919,            0.013945,            0.010099,            0.001618,            0.001618,            0.001618
                 129,            0.026333,           0.0074216,          0.00057405,             0.58306,             0.38032,             0.37592,             0.18458,            0.053916,            0.013851,           0.0097188,            0.001552,            0.001552,            0.001552
                 130,            0.025878,           0.0077059,          0.00035033,             0.47874,             0.40658,             0.39776,             0.19507,            0.054018,            0.013632,           0.0095821,            0.001486,            0.001486,            0.001486
                 131,            0.027273,           0.0077212,          0.00043373,              0.5516,             0.41439,             0.40837,             0.19705,            0.053821,            0.014084,           0.0091832,             0.00142,             0.00142,             0.00142
                 132,            0.025636,           0.0072082,          0.00044194,             0.62363,             0.38718,              0.4061,             0.19379,            0.054381,            0.014012,           0.0095759,            0.001354,            0.001354,            0.001354
                 133,            0.025827,           0.0072171,          0.00033348,             0.57553,              0.3981,             0.39281,             0.18949,            0.053916,            0.013714,            0.010044,            0.001288,            0.001288,            0.001288
                 134,             0.02657,           0.0071954,          0.00053978,             0.45762,             0.40621,             0.40602,             0.20671,            0.053489,            0.013049,            0.010835,            0.001222,            0.001222,            0.001222
                 135,            0.025441,           0.0073672,          0.00057255,             0.47806,             0.41015,             0.40421,             0.20211,            0.053395,            0.013687,           0.0098467,            0.001156,            0.001156,            0.001156
                 136,            0.025545,           0.0073002,          0.00027288,             0.55196,             0.35585,             0.39231,             0.19695,            0.053355,            0.013808,           0.0097031,             0.00109,             0.00109,             0.00109
                 137,            0.025504,           0.0073079,          0.00035559,             0.48014,             0.40167,             0.39303,             0.19925,             0.05307,            0.014058,           0.0099913,            0.001024,            0.001024,            0.001024
                 138,             0.02573,           0.0070911,          0.00033416,             0.49772,             0.39565,             0.39416,             0.19425,            0.053087,            0.013965,            0.010145,            0.000958,            0.000958,            0.000958
                 139,            0.026331,           0.0078283,          0.00037268,             0.51044,             0.43787,              0.4091,             0.20585,            0.052392,            0.013506,           0.0099887,            0.000892,            0.000892,            0.000892
                 140,            0.025169,           0.0073033,          0.00028476,             0.53982,             0.40167,             0.41117,             0.20631,            0.052028,            0.013289,            0.010619,            0.000826,            0.000826,            0.000826
                 141,            0.024301,           0.0071995,          0.00033057,             0.53296,             0.42107,             0.41322,              0.2086,            0.052315,            0.013252,           0.0098676,             0.00076,             0.00076,             0.00076
                 142,            0.025217,           0.0074012,          0.00028554,             0.51919,             0.42955,             0.42092,             0.20687,            0.052492,            0.013528,           0.0099478,            0.000694,            0.000694,            0.000694
                 143,            0.024917,           0.0067927,          0.00043827,              0.4781,             0.44405,             0.40965,             0.19696,            0.052595,             0.01384,           0.0097307,            0.000628,            0.000628,            0.000628
                 144,            0.026049,           0.0070053,          0.00031981,             0.46811,                0.43,             0.41915,             0.20769,            0.052503,            0.013605,           0.0098552,            0.000562,            0.000562,            0.000562
                 145,            0.025129,           0.0072377,          0.00037369,             0.62077,               0.369,             0.41536,             0.20328,              0.0531,            0.013974,           0.0097581,            0.000496,            0.000496,            0.000496
                 146,            0.025283,           0.0071888,          0.00030336,             0.51262,             0.42356,             0.42118,             0.20358,            0.052676,            0.013868,            0.009678,             0.00043,             0.00043,             0.00043
                 147,            0.025416,           0.0073067,           0.0003429,             0.54139,             0.39943,             0.40784,             0.19519,            0.052796,            0.013892,           0.0099788,            0.000364,            0.000364,            0.000364
                 148,            0.024863,           0.0068927,          0.00035754,             0.57127,             0.41015,             0.41992,             0.19917,            0.052981,            0.013683,           0.0099165,            0.000298,            0.000298,            0.000298
                 149,            0.024845,           0.0070573,          0.00034436,              0.5579,             0.41015,             0.41572,             0.19737,            0.053002,            0.013692,           0.0097946,            0.000232,            0.000232,            0.000232
